㓦划	㓦劃
一丝不挂	一絲不掛
一了心愿	一了心願
一了百了	一了百了
一了百当	一了百當
一争两丑	一爭兩醜
一伙	一夥
一伙人	一夥人
一伙头	一夥頭
一偿宿愿	一償宿願
一元复始	一元復始
一克	一克
一党	一黨
一冲性子	一沖性子
一准	一準
一出剧	一齣劇
一出去	一出去
一出场	一出場
一出子	一齣子
一出戏	一齣戲
一出来	一出來
一出生	一出生
一出祁山	一出祁山
一分收获	一分收穫
一分耕耘	一分耕耘
一分钟	一分鐘
一划	一劃
一别	一別
一别多年	一別多年
一别头	一彆頭
一刻千金	一刻千金
一前一后	一前一後
一力承当	一力承當
一卷	一卷
一厘一毫	一釐一毫
一厢情愿	一廂情願
一去不回	一去不回
一去不复	一去不復
一去不复返	一去不復返
一发	一發
一发之差	一髮之差
一发之间	一髮之間
一发千钧	一髮千鈞
一口钟	一口鐘
一只	一隻
一台	一臺
一台台	一臺臺
一叶	一葉
一叶兰	一葉蘭
一叶扁舟	一葉扁舟
一叶知秋	一葉知秋
一号木杆	一號木桿
一吊	一吊
一吊钱	一吊錢
一同	一同
一向	一向
一周	一週
一周天	一周天
一周年	一週年
一周遭	一周遭
一哄	一鬨
一哄而上	一哄而上
一哄而散	一鬨而散
一哄而起	一哄而起
一哄而集	一哄而集
一喊出	一喊出
一回	一回
一回事	一回事
一团	一團
一团和气	一團和氣
一团团	一團團
一团漆黑	一團漆黑
一团火	一團火
一团糟	一團糟
一国两制	一國兩制
一地胡拿	一地胡拿
一地里	一地裏
一块面	一塊麪
一坛	一罈
一坛坛	一罈罈
一坛死水	一壇死水
一塌糊涂	一塌糊塗
一壶千金	一壺千金
一夜致富	一夜致富
一大伙	一大夥
一天后	一天後
一天星斗	一天星斗
一天钟	一天鐘
一夫一妻	一夫一妻
一夫当关	一夫當關
一妻制	一妻制
一妻多夫	一妻多夫
一孔出气	一孔出氣
一字一板	一字一板
一字千金	一字千金
一寸秋波	一寸秋波
一将功成	一將功成
一展长才	一展長才
一干	一干
一干二净	一乾二淨
一干人	一干人
一干家中	一干家中
一干弟兄	一干弟兄
一干弟子	一干弟子
一干而尽	一乾而盡
一干部下	一干部下
一并	一併
一开出来	一開出來
一弦	一弦
一当	一當
一心向上	一心向上
一念	一念
一念三千	一念三千
一扎	一紮
一托头	一托頭
一托气	一托氣
一扣	一扣
一折	一折
一折一磨	一折一磨
一折两段	一折兩段
一折八扣	一折八扣
一拍即合	一拍即合
一挂	一掛
一挂之下	一掛之下
一掷千金	一擲千金
一掷百万	一擲百萬
一搜	一搜
一摇一摆	一搖一擺
一摇三摆	一搖三擺
一播出	一播出
一斗	一斗
一斗再斗	一鬥再鬥
一斗斗	一斗斗
一方面	一方面
一无所获	一無所獲
一日万机	一日萬機
一日三秋	一日三秋
一日千里	一日千里
一日叫娘	一日叫孃
一早起了	一早起了
一时糊涂	一時糊塗
一曲	一曲
一曲千金	一曲千金
一曲阳关	一曲陽關
一本万利	一本萬利
一杆	一杆
一杆进洞	一桿進洞
一杠	一槓
一杯	一杯
一杯杯	一杯杯
一杯羹	一杯羹
一松	一鬆
一板	一板
一板一眼	一板一眼
一板三眼	一板三眼
一柜	一櫃
一树百获	一樹百穫
一根烟	一根菸
一死了之	一死了之
一毫一发	一毫一髮
一池秋水	一池秋水
一沐三捉发	一沐三捉髮
一沐三握发	一沐三握髮
一波三折	一波三折
一泻千里	一瀉千里
一派胡言	一派胡言
一流人才	一流人才
一涂	一塗
一游	一遊
一溜烟	一溜煙
一点钟	一點鐘
一物一制	一物一制
一物克一物	一物剋一物
一百多万	一百多萬
一百廿万	一百廿萬
一目了然	一目瞭然
一相情愿	一相情願
一看出	一看出
一碗面	一碗麪
一碧万顷	一碧萬頃
一禾九穗	一禾九穗
一种	一種
一秒钟	一秒鐘
一穗三秀	一穗三秀
一笑了之	一笑了之
一笑千金	一笑千金
一笔划	一筆劃
一答一合	一答一合
一签	一簽
一箭之仇	一箭之仇
一箭双雕	一箭雙鵰
一系	一系
一系列	一系列
一统志	一統志
一网打尽	一網打盡
一翻出	一翻出
一胎制	一胎制
一至于此	一至於此
一致	一致
一致字	一致字
一致性	一致性
一致百虑	一致百慮
一般等价	一般等價
一落千丈	一落千丈
一表	一表
一表人才	一表人才
一表人材	一表人材
一表人物	一表人物
一表非俗	一表非俗
一表非凡	一表非凡
一见钟情	一見鍾情
一见面	一見面
一视同仁	一視同仁
一览表	一覽表
一触即发	一觸即發
一言不发	一言不發
一言不合	一言不合
一言千金	一言千金
一言已定千金不移	一言已定千金不移
一言既出	一言既出
一言既出驷马难追	一言既出駟馬難追
一言难尽	一言難盡
一讲出	一講出
一语不发	一語不發
一说出	一說出
一诺值千金	一諾值千金
一诺千金	一諾千金
一败涂地	一敗塗地
一赞	一讚
一走了之	一走了之
一起干	一起幹
一蹴可几	一蹴可幾
一身作事一身当	一身作事一身當
一轨同风	一軌同風
一辞莫赞	一辭莫贊
一递里	一遞裏
一逞兽欲	一逞獸慾
一道烟	一道煙
一醉解千愁	一醉解千愁
一里	一里
一里一外	一裏一外
一针	一針
一针见血	一針見血
一锅面	一鍋麪
一锹掘个井	一鍬掘個井
一院制	一院制
一雨成秋	一雨成秋
一面	一面
一面之交	一面之交
一面之缘	一面之緣
一面之识	一面之識
一面之词	一面之詞
一面之辞	一面之辭
一面之雅	一面之雅
一面倒	一面倒
一面儿官司	一面兒官司
一面如旧	一面如舊
一面点	一面點
一飞冲天	一飛沖天
一食万钱	一食萬錢
一饭千金	一飯千金
一饮而尽	一飲而盡
一马当先	一馬當先
一麾出守	一麾出守
一鼓一板	一鼓一板
一鼻孔出气	一鼻孔出氣
一龙生九种种种各别	一龍生九種種種各別
丁一确二	丁一確二
丁丁冬冬	丁丁冬冬
丁丁当当	丁丁當當
丁丁炒面	丁丁炒面
丁丑	丁丑
丁伯升	丁伯升
丁克	丁克
丁冬	丁冬
丁固生松	丁固生松
丁娘十索	丁娘十索
丁字梁	丁字梁
丁当	丁當
丁柏升	丁柏升
丁种	丁種
丁种维生素	丁種維生素
丁铃当啷	丁鈴噹啷
丁零当啷	丁零當啷
丁鸿志	丁鴻志
七万	七萬
七万三千	七萬三千
七万五千	七萬五千
七万八千	七萬八千
七万六千	七萬六千
七万四千	七萬四千
七个	七個
七个八个	七個八個
七了八当	七了八當
七余	七餘
七八下里	七八下裏
七出	七出
七出祁山	七出祁山
七分钟	七分鐘
七划	七劃
七十七万	七十七萬
七十七国集团	七十七國集團
七十五万	七十五萬
七千	七千
七千两百	七千兩百
七发	七發
七只	七隻
七台	七臺
七台河	七臺河
七台河市	七臺河市
七叶胆	七葉膽
七周	七週
七回	七回
七团	七團
七国集团	七國集團
七坛	七罈
七天后	七天後
七娘	七娘
七娘妈	七孃媽
七孔生烟	七孔生煙
七巧板	七巧板
七弦	七絃
七彩	七彩
七彩缤纷	七彩繽紛
七彩虹	七彩虹
七情六欲	七情六慾
七扎	七紮
七折	七折
七折八扣	七折八扣
七政四余	七政四餘
七星坛	七星壇
七星岩	七星巖
七星板	七星板
七星瓢虫	七星瓢蟲
七杯	七杯
七步之才	七步之才
七步奇才	七步奇才
七点钟	七點鐘
七百万	七百萬
七百多万	七百多萬
七种	七種
七秒钟	七秒鐘
七窍冒烟	七竅冒煙
七窍生烟	七竅生煙
七色板	七色板
七里河	七里河
七里河区	七里河區
七里香	七里香
万一	萬一
万一只	萬一只
万万	萬萬
万万不可	萬萬不可
万万千千	萬萬千千
