㑮	𫝈
㑯	㑔
㑳	㑇
㑶	㐹
㒓	𠉂
㓄	𪠟
㓨	刾
㔋	𪟎
㖮	𪠵
㗲	𠵾
㗿	𪡛
㘉	𠰱
㘓	𪢌
㘔	㗷
㘚	㘎
㛝	𫝦
㜄	㚯
㜏	㛣
㜐	𫝧
㜗	𡞋
㜢	𡞱
㜷	𡝠
㞞	𪨊
㟺	𪩇
㠏	㟆
㢗	𪪑
㢝	𢋈
㥮	㤘
㦎	𢛯
㦛	𢗓
㦞	𪫷
㨻	𪮃
㩋	𪮋
㩜	㨫
㩳	㧐
㩵	擜
㪎	𪯋
㯤	𣘐
㰙	𣗙
㵗	𣳆
㵾	𪷍
㶆	𫞛
㷍	𤆢
㷿	𤈷
㸇	𤎺
㹽	𫞣
㺏	𤠋
㺜	𪺻
㻶	𪼋
㿖	𪽮
㿗	𤻊
㿧	𤽯
䀉	𥁢
䀹	𥅴
䁪	𥇢
䁻	䀥
䂎	𥎝
䃮	鿎
䅐	𫀨
䅳	𫀬
䆉	𫁂
䉑	𫁲
䉙	𥬀
䉬	𫂈
䉲	𥮜
䉶	𫁷
䊭	𥺅
䊷	䌶
䊺	𫄚
䋃	𫄜
䋔	𫄞
䋙	䌺
䋚	䌻
䋦	𫄩
䋹	䌿
䋻	䌾
䋼	𫄮
䋿	𦈓
䌈	𦈖
䌋	𦈘
䌖	𦈜
䌝	𦈟
䌟	𦈞
䌥	𦈠
䌰	𦈙
䍤	𫅅
䍦	䍠
䍽	𦍠
䎙	𫅭
䎱	䎬
䕤	𫟕
䕳	𦰴
䖅	𫟑
䗅	𫊪
䗿	𧉞
䙔	𫋲
䙡	䙌
䙱	𧜭
䚩	𫌯
䛄	𫍠
䛳	𫍫
䜀	䜧
䜖	𫟢
䝭	𫎧
䝻	𧹕
䝼	䞍
䞈	𧹑
䞋	𫎪
䞓	𫎭
䟃	𫎺
䟆	𫎳
䟐	𫎱
䠆	𫏃
䠱	𨅛
䡐	𫟤
䡩	𫟥
䡵	𫟦
䢨	𨑹
䤤	𫟺
䥄	𫠀
䥇	䦂
䥑	鿏
䥗	𫔋
䥩	𨱖
䥯	𫔆
䥱	䥾
䦘	𨸄
䦛	䦶
䦟	䦷
䦯	𫔵
䦳	𨷿
䧢	𨸟
䪊	𫖅
䪏	𩏼
䪗	𩐀
䪘	𩏿
䪴	𫖫
䪾	𫖬
䫀	𫖱
䫂	𫖰
䫟	𫖲
䫴	𩖗
䫶	𫖺
䫻	𫗇
䫾	𫠈
䬓	𫗊
䬘	𩙮
䬝	𩙯
䬞	𩙧
䬧	𫗟
䭀	𩠇
䭃	𩠈
䭑	𫗱
䭔	𫗰
䭿	𩧭
䮄	𫠊
䮝	𩧰
䮞	𩨁
䮠	𩧿
䮫	𩨇
䮰	𫘮
䮳	𩨏
䮾	𩧪
䯀	䯅
䯤	𩩈
䰾	鲃
䱀	𫚐
䱁	𫚏
䱙	𩾈
䱧	𫚠
䱬	𩾊
䱰	𩾋
䱷	䲣
䱸	𫠑
䱽	䲝
䲁	鳚
䲅	𫚜
䲖	𩾂
䲘	鳤
䲰	𪉂
䳜	𫛬
䳢	𫛰
䳤	𫛮
䳧	𫛺
䳫	𫛼
䴉	鹮
䴋	𫜅
䴬	𪎈
䴱	𫜒
䴴	𪎋
䴽	𫜔
䵳	𪑅
䵴	𫜙
䶕	𫜨
䶲	𫜳
万	万
丑	丑
丟	丢
並	并
丰	丰
么	么
乾	干 乾
亂	乱
了	了
于	于
云	云
亙	亘
亞	亚
仆	仆
仇	仇
价	价
仿	仿
伙	伙
佇	伫
佈	布
佔	占
余	余
佛	佛
佣	
