㑮	𫝈
㑯	㑔
㑳	㑇
㑶	㐹
㒓	𠉂
㓄	𪠟
㓨	刾
㔋	𪟎
㖮	𪠵
㗲	𠵾
㗿	𪡛
㘉	𠰱
㘓	𪢌
㘔	㗷
㘚	㘎
㛝	𫝦
㜄	㚯
㜏	㛣
㜐	𫝧
㜗	𡞋
㜢	𡞱
㜷	𡝠
㞞	𪨊
㟺	𪩇
㠏	㟆
㢗	𪪑
㢝	𢋈
㥮	㤘
㦎	𢛯
㦛	𢗓
㦞	𪫷
㨻	𪮃
㩋	𪮋
㩜	㨫
㩳	㧐
㩵	擜
㪎	𪯋
㯤	𣘐
㰙	𣗙
㵗	𣳆
㵾	𪷍
㶆	𫞛
㷍	𤆢
㷿	𤈷
㸇	𤎺
㹽	𫞣
㺏	𤠋
㺜	𪺻
㻶	𪼋
㿖	𪽮
㿗	𤻊
㿧	𤽯
䀉	𥁢
䀹	𥅴
䁪	𥇢
䁻	䀥
䂎	𥎝
䃮	鿎
䅐	𫀨
䅳	𫀬
䆉	𫁂
䉑	𫁲
䉙	𥬀
䉬	𫂈
䉲	𥮜
䉶	𫁷
䊭	𥺅
䊷	䌶
䊺	𫄚
䋃	𫄜
䋔	𫄞
䋙	䌺
䋚	䌻
䋦	𫄩
䋹	䌿
䋻	䌾
䋼	𫄮
䋿	𦈓
䌈	𦈖
䌋	𦈘
䌖	𦈜
䌝	𦈟
䌟	𦈞
䌥	𦈠
䌰	𦈙
䍤	𫅅
䍦	䍠
䍽	𦍠
䎙	𫅭
䎱	䎬
䕤	𫟕
䕳	𦰴
䖅	𫟑
䗅	𫊪
䗿	𧉞
䙔	𫋲
䙡	䙌
䙱	𧜭
䚩	𫌯
䛄	𫍠
䛳	𫍫
䜀	䜧
䜖	𫟢
䝭	𫎧
䝻	𧹕
䝼	䞍
䞈	𧹑
䞋	𫎪
䞓	𫎭
䟃	𫎺
䟆	𫎳
䟐	𫎱
䠆	𫏃
䠱	𨅛
䡐	𫟤
䡩	𫟥
䡵	𫟦
䢨	𨑹
䤤	𫟺
䥄	𫠀
䥇	䦂
䥑	鿏
䥗	𫔋
䥩	𨱖
䥯	𫔆
䥱	䥾
䦘	𨸄
䦛	䦶
䦟	䦷
䦯	𫔵
䦳	𨷿
䧢	𨸟
䪊	𫖅
䪏	𩏼
䪗	𩐀
䪘	𩏿
䪴	𫖫
䪾	𫖬
䫀	𫖱
䫂	𫖰
䫟	𫖲
䫴	𩖗
䫶	𫖺
䫻	𫗇
䫾	𫠈
䬓	𫗊
䬘	𩙮
䬝	𩙯
䬞	𩙧
䬧	𫗟
䭀	𩠇
䭃	𩠈
䭑	𫗱
䭔	𫗰
䭿	𩧭
䮄	𫠊
䮝	𩧰
䮞	𩨁
䮠	𩧿
䮫	𩨇
䮰	𫘮
䮳	𩨏
䮾	𩧪
䯀	䯅
䯤	𩩈
䰾	鲃
䱀	𫚐
䱁	𫚏
䱙	𩾈
䱧	𫚠
䱬	𩾊
䱰	𩾋
䱷	䲣
䱸	𫠑
䱽	䲝
䲁	鳚
䲅	𫚜
䲖	𩾂
䲘	鳤
䲰	𪉂
䳜	𫛬
䳢	𫛰
䳤	𫛮
䳧	𫛺
䳫	𫛼
䴉	鹮
䴋	𫜅
䴬	𪎈
䴱	𫜒
䴴	𪎋
䴽	𫜔
䵳	𪑅
䵴	𫜙
䶕	𫜨
䶲	𫜳
万	万
丑	丑
丟	丢
並	并
丰	丰
么	么
乾	干 乾
亂	乱
了	了
于	于
云	云
亙	亘
亞	亚
仆	仆
仇	仇
价	价
仿	仿
伙	伙
佇	伫
佈	布
佔	占
余	余
佛	佛
佣	佣
併	并
來	来
侖	仑
侶	侣
侷	局
俁	俣
係	系
俊	俊
俓	𠇹
俔	伣
俠	侠
俥	伡
俬	私
修	修
倀	伥
倆	俩
倈	俫
倉	仓
個	个
們	们
倖	幸
借	借
倫	伦
倲	㑈
偉	伟
偑	㐽
側	侧
偵	侦
偽	伪
傌	㐷
傑	杰
傖	伧
傘	伞
備	备
傢	家
傭	佣
傯	偬
傳	传
傴	伛
債	债
傷	伤
傾	倾
僂	偻
僅	仅
僉	佥
僑	侨
僕	仆
僞	伪
僥	侥
僨	偾
僱	雇
僵	僵
價	价
儀	仪
儁	俊
儂	侬
億	亿
儈	侩
儉	俭
儎	傤
儐	傧
儔	俦
儕	侪
儘	尽 侭
償	偿
儣	𠆲
優	优
儭	𠋆
儲	储
儷	俪
儸	㑩
儺	傩
儻	傥
儼	俨
兇	凶
克	克
兌	兑
兒	儿
兗	兖
党	党
內	内
兩	两
冊	册
冑	胄
冪	幂
冬	冬
准	准
凈	净
凌	凌
凍	冻
凙	𪞝
凜	凛
几	几
凱	凯
凶	凶
出	出
划	划
別	别
刪	删
刮	刮
制	制
剄	刭
則	则
剋	克
剎	刹
剗	刬
剛	刚
剝	剥
剮	剐
剴	剀
創	创
剷	铲
剾	𠛅
劃	划 㓰
劇	剧
劉	刘
劊	刽
劌	刿
劍	剑
劏	㓥
劑	剂
劚	㔉
勁	劲
勑	𠡠
動	动
務	务
勛	勋
勝	胜
勞	劳
勢	势
勣	𪟝
勩	勚
勱	劢
勳	勋
勵	励
勸	劝
勻	匀
匭	匦
匯	汇
匱	匮
區	区
千	千
升	升
協	协
卜	卜
占	占
卷	卷
卹	恤
卻	却
卽	即
厂	厂
厘	厘
厙	厍
厠	厕
厤	历
厭	厌
厲	厉
厴	厣
參	参
叄	叁
叢	丛
只	只
台	台
叶	叶
吁	吁
合	合
吊	吊
同	同
后	后
向	向
吒	咤
吳	吴
吶	呐
呂	吕
周	周
咨	咨
咸	咸
咼	呙
咽	咽
哄	哄
員	员
哯	𠯟
唄	呗
唓	𪠳
唚	吣
唸	念
問	问
啓	启
啞	哑
啟	启
啢	唡
喂	喂
喎	㖞
喚	唤
喪	丧
喫	吃
喬	乔
單	单
喲	哟
嗆	呛
嗇	啬
嗊	唝
嗎	吗
嗚	呜
嗩	唢
嗰	𠮶
嗶	哔
嗹	𪡏
嘆	叹
嘍	喽
嘓	啯
嘔	呕
嘖	啧
嘗	尝
嘜	唛
嘩	哗
嘪	𪡃
嘮	唠
嘯	啸
嘰	叽
嘳	𪡞
嘵	哓
嘸	呒
嘺	𪡀
嘽	啴
噁	恶
噅	𠯠
噓	嘘
噚	㖊
噝	咝
噞	𪡋
噠	哒
噥	哝
噦	哕
噪	噪
噯	嗳
噲	哙
噴	喷
噸	吨
噹	当 𪠽
嚀	咛
嚇	吓
嚌	哜
嚐	尝
嚕	噜
嚙	啮
嚛	𪠸
嚥	咽
嚦	呖
嚧	𠰷
嚨	咙
嚮	向
嚲	亸
嚳	喾
嚴	严
嚶	嘤
嚽	𪢕
囀	啭
囁	嗫
囂	嚣
囃	𠱞
囅	冁
囈	呓
囉	啰
囌	苏
囑	嘱
囒	𪢠
回	回
囪	囱
困	困
圇	囵
國	国
圍	围
園	园
圓	圆
圖	图
團	团
圞	𪢮
坐	坐
垵	埯
埡	垭
埬	𪣆
埰	采
執	执
堅	坚
堊	垩
堖	垴
堚	𪣒
堝	埚
堯	尧
報	报
場	场
塊	块
塋	茔
塏	垲
